"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9PI89WDN","journalArticle","1990","Walker, Christopher","Thomas Pynchon's Vineland","London Review of Books","","","","","","1990-03-08","2024-06-28 19:24:32","2024-06-28 19:24:32","","4-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDBBDIRN","journalArticle","1969","Wasson, Richard","Notes On a New Sensibility","Partisan Review","","","","","","1969","2024-06-28 19:24:32","2024-06-28 19:24:32","","460-477","","3","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EARGVF55","journalArticle","2007","Watman, Max","Pynchon's Progress","The New Criterion","","","","","","2007-02","2024-06-28 19:24:32","2024-06-28 19:24:32","","69","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ISAAPVWH","journalArticle","2008","Werli, Antonio","Slow Learner: Thomas Pynchon, Un portrait de l'invisibilité","Cyclocosmia","","","","","","2008-09-18","2024-06-28 19:24:32","2024-06-28 19:24:32","","33-37","","","","","","","","","","","","","French","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IEHCUHUU","journalArticle","1990","Whitworth, John","Not a Novel for Grown-Ups","Spectator","","","","","","1990-02-03","2024-06-28 19:24:32","2024-06-28 19:24:32","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"328BJKL2","journalArticle","1997","Wilhelmus, Tom","Science and Technology, Again","The Hudson Review","","","","","","1997","2024-06-28 19:24:32","2024-06-28 19:24:32","","747-754","","4","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FWVUQH2K","journalArticle","2007","Wood, Michael","Humming Along","London Review of Books","","","","","","2007-01-04","2024-06-28 19:24:32","2024-06-28 19:24:32","","","","1","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7LIYLC57","journalArticle","1973","Wood, Michael","Rocketing to the Apocalypse","The New York Review of Books","","","","","","1973-03-22","2024-06-28 19:24:32","2024-06-28 19:24:32","","22-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YKI5A5MR","journalArticle","1984","Wood, Michael","The Apprenticeship of Thomas Pynchon","The New York Review of Books","","","","","","1984-04-15","2024-06-28 19:24:32","2024-06-28 19:24:32","","1, 28-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VGTALLWN","journalArticle","1997","Daniel, A. J.; Styles, P.","Topographic accessibility and the tectonic interpretation of gravity data","Geophysical Prospecting","","0016-8025, 1365-2478","10.1046/j.1365-2478.1997.73309.x","https://onlinelibrary.wiley.com/doi/10.1046/j.1365-2478.1997.73309.x","During recent gravity surveys in Patagonia, we were unable to acquire data on the North Patagonian Icecap, which is completely inaccessible for land surveying. The Icecap is clearly of tectonic significance, but, because of its tectonic history, it is uplifted and rugged, and consequently inaccessible. Therefore the distribution of geophysical observations which can be acquired in a rugged field area is dependent on the tectonic history. This suggests that a tectonic history which is reconstructed from geophysical data may be systematically biased.             We use models of local and flexural isostasy to estimate the gravity errors associated with interpolation across inaccessible topography. The gravity error is largest for Pratt isostasy, where the mass deficit which supports the topography is at relatively shallow depths. The gravity error is least for flexural isostasy, because in this case the inaccessible topography is supported regionally by a mass deficit which extends beyond the inaccessible region.             An analytical flexural interpolation scheme is proposed for interpolation across data gaps associated with inaccessible topography. Flexural theory and Gauss’s theorem are used to predict the gravity anomaly due to the mass excess of the inaccessible topography. We apply this scheme to the North Patagonian Icecap, to demonstrate that flexural interpolation predicts a relative gravity low at the site of the Icecap, which would not be predicted by purely geometrical interpolation schemes.","1997-11","2024-06-28 19:29:30","2024-06-28 19:29:30","2024-06-28 19:29:30","1013-1026","","6","45","","Geophysical Prospecting","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4HMUMQK7","journalArticle","2007","Vermeulen, M.","Het portfolio levert geen wezenlijke bijdrage aan de kwaliteit van de specialistenopleiding","Tijdschrift voor Medisch Onderwijs","","1389-6555, 1876-5157","10.1007/BF03056766","https://link.springer.com/10.1007/BF03056766","","2007-02","2024-06-28 19:29:32","2024-06-28 19:29:32","2024-06-28 19:29:32","24-25","","1","26","","TMEO","","","","","","","","nl","https://creativecommons.org/licenses/by-nc/2.0","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/JNES6WLE/Vermeulen - 2007 - Het portfolio levert geen wezenlijke bijdrage aan .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A8T3QBFS","journalArticle","1997","Epstein, David","Error messages in F, take two","ACM SIGPLAN Fortran Forum","","1061-7264, 1931-1311","10.1145/274104.274110","https://dl.acm.org/doi/10.1145/274104.274110","","1997-12","2024-06-28 19:29:34","2024-06-28 19:29:34","2024-06-28 19:29:34","12-16","","3","16","","SIGPLAN Fortran Forum","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/V8DG3HMW/Epstein - 1997 - Error messages in F, take two.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TTHIEGFL","journalArticle","1997","Abbott, Lee K.","From Cherrycoke to Everybeet, Pynchon's Multitude of Voices","The Miami Herald","","","","","","1997-04-27","2024-06-28 19:37:41","2024-06-28 19:37:41","","4L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRFFIQEA","journalArticle","1996","Abrahamsson, Örjan","Mysteriet Pynchon","Hufvudstadsbladet","","","","","","1996-12-30","2024-06-28 19:37:41","2024-06-28 19:37:41","","6","","","","","","","","","","","","","Swedish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZXP3XHVU","journalArticle","2006","Adair, Tom","Pynchon's Flying Circus","The Scotsman","","","","","","2006-11-25","2024-06-28 19:37:41","2024-06-28 19:37:41","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UBKVWIFG","journalArticle","1997","Akst, Daniel","Drawing the Line of North and South","San Jose Mercury News","","","","","","1997-05-04","2024-06-28 19:37:41","2024-06-28 19:37:41","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EH5P27QH","journalArticle","2009","Al-Shawaf, Rayyan","Inherent Vice: Pynchon's (im)perfect crime","The Miami Herald","","","","","","2009-08-02","2024-06-28 19:37:41","2024-06-28 19:37:41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2WVFC7GV","journalArticle","1997","Alford, Steven E.","Pynchon's Line","Houston Chronicle","","","","","","1997-05-11","2024-06-28 19:37:41","2024-06-28 19:37:41","","18, 23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EE6DXGFQ","journalArticle","1997","Allen, Bruce","Pynchon Redux","Kirkus Reviews","","","","","","1997-05-01","2024-06-28 19:37:42","2024-06-28 19:37:42","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9QJVYBDD","journalArticle","1965","","American Fiction: The Postwar Years, 1945 - 1965","Sunday Herald Tribune: Book Week","","","","","","1965-09-26","2024-06-28 19:37:42","2024-06-28 19:37:42","","1-3, 5-7, 18, 20, 22, 24-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JU7TNTE8","journalArticle","1999","Andersen, Af Uffe","Welcome Mr Chance: Thomas Pynchon: Katalognummer 49 udbydes","Sentura","","","","","","1999","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","Danish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NAJ7WVBC","journalArticle","2009","Andersen, Tore Rye","Den skæve hippie-detektiv","Dagbladet Information","","","","","","2009-08-05","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","Danish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9M7GE345","journalArticle","2006","Anderson, Don","A Tale So Extraordinary","The Weekend Australian","","","","","","2006-12-23","2024-06-28 19:37:42","2024-06-28 19:37:42","","Section Review: 10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHQ27JS8","journalArticle","1990","Anderson, Roger","A Pynchon's Time","Express","","","","","","1990-03-02","2024-06-28 19:37:42","2024-06-28 19:37:42","","16-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZ7RGCYA","journalArticle","2006","Appleyard, Bryan","Desperately Seeking Pynchon","Sunday Times","","","","","","2006-12-03","2024-06-28 19:37:42","2024-06-28 19:37:42","","Feature: 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JW6B3BAV","journalArticle","1984","Atchity, Kenneth","Pynchon Reappears With Examples and Apologies","Los Angeles Times","","","","","","1984-05-06","2024-06-28 19:37:42","2024-06-28 19:37:42","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8M335EZ","journalArticle","2006","Bailey, John","The View from the Summit: Fiction","The Age","","","","","","2006-12-22","2024-06-28 19:37:42","2024-06-28 19:37:42","","Books: 16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RKCRMGKP","journalArticle","1963","Balliett, Whitney","Wha","The New Yorker","","","","","","1963-06-15","2024-06-28 19:37:42","2024-06-28 19:37:42","","113-114, 117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QIRVRJSB","journalArticle","2006","Bancroft, Colette","A World of Possibilities","St. Petersburg Times","","","","","","2006-12-10","2024-06-28 19:37:42","2024-06-28 19:37:42","","11L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K9IJ7KF2","journalArticle","2009","Bancroft, Colette","Thomas Pynchon Delivers a Great Beach Read with Inherent Vice","St. Petersburg Times","","","","","","2009-08-09","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7YSUJS2I","journalArticle","2002","Barbéri, Jacques","Thomas Pynchon - Mason & Dixon","Chronic'Art","","","","","","2002-02","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","French","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NY45V8L7","journalArticle","1997","Battersby, Eileen","A Great Opportunity Missed","Irish Times","","","","","","1997-05-10","2024-06-28 19:37:42","2024-06-28 19:37:42","","Weekend section [9]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PK5UT3C","journalArticle","2007","Battersby, Eileen","Less than Epic","Irish Times","","","","","","2007-01-13","2024-06-28 19:37:42","2024-06-28 19:37:42","","Weekend: 13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7GEHHTLZ","journalArticle","1997","Baudino, Mario","Pynchon, Don Chisciotte in America","La Stampa","","","","","","1997-04-29","2024-06-28 19:37:42","2024-06-28 19:37:42","","23","","","","","","","","","","","","","Italian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA5R6GJN","journalArticle","1997","Begley, Adam","Flattened History","St. Petersburg Times","","","","","","1997-05-04","2024-06-28 19:37:42","2024-06-28 19:37:42","","4D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6FYWNIJ","journalArticle","1997","Begley, Adam","Pynchon Still Has the Stuff, but You Can't Get to It","New York Observer","","","","","","1997-04-28","2024-06-28 19:37:42","2024-06-28 19:37:42","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CT2EVF94","journalArticle","1990","Begnal, Michael H.","Review of Vineland","Choice","","","","","","1990-05","2024-06-28 19:37:42","2024-06-28 19:37:42","","1504","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DEHA9EGL","journalArticle","1997","Bencivenga, Jim","Review of Mason & Dixon","Christian Science Monitor","","","","","","1997-05-15","2024-06-28 19:37:42","2024-06-28 19:37:42","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23XU6LF5","journalArticle","1994","Bergh, Magnus","Kurrag","Dagens Nyheter","","","","","","1994-12-13","2024-06-28 19:37:42","2024-06-28 19:37:42","","B2","","","","","","","","","","","","","Swedish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FF5N88N7","journalArticle","1997","Bigsby, Christopher","The Subdividers of Eternity","The Daily Telegraph","","","","","","1997-05-03","2024-06-28 19:37:42","2024-06-28 19:37:42","","Section Books: 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9Z93TJ5","journalArticle","2010","Billot, Victor","Book review: Inherent Vice","Otago Daily Times","","","","","","2010-02-06","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"628GMC79","journalArticle","1990","Birkerts, Sven","Pynchon's Strange Trip Through the '80s","USA Today","","","","","","1990-01-05","2024-06-28 19:37:42","2024-06-28 19:37:42","","4D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHY4LJVM","journalArticle","1990","Bishop, Patricia","Groping Toward a State of Grace","London Free Press","","","","","","1990-03-24","2024-06-28 19:37:42","2024-06-28 19:37:42","","D12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LZXHX5MH","journalArticle","1996","Blinkhorn, Lois","Pynchon Back in Print","The Milwaukee Journal Sentinel","","","","","","1996-12-29","2024-06-28 19:37:42","2024-06-28 19:37:42","","Section Cue: 11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NAKAS8M9","journalArticle","1990","Bluestein, Gene","Tangled Vines","Progressive","","","","","","1990-06","2024-06-28 19:37:42","2024-06-28 19:37:42","","42-43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D9RMXZSJ","journalArticle","1999","Bocchiola, Massimo","Pynchon I confini della discordia","Corriere della Sera","","","","","","1999-10-13","2024-06-28 19:37:42","2024-06-28 19:37:42","","23","","","","","","","","","","","","","Italian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GVSWBQ3V","journalArticle","1997","Bonca, Cornel","Re-Dreaming the American Dream: And Re-Reading Pynchon's Latest","OC Weekly","","","","","","1997-08-29","2024-06-28 19:37:42","2024-06-28 19:37:42","","Section Books: 23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5Q99X7YN","journalArticle","1997","Boomsma, Graa","De geschiedenis als opera","De Groene Amsterdammer","","","","","","1997-05-14","2024-06-28 19:37:42","2024-06-28 19:37:42","","26-27","","","","","","","","","","","","","Dutch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUMW7PZY","journalArticle","2007","Boomsma, Graa","Gekocht, verleid en om de tuin geleid","De Groene Amsterdammer","","","","","","2007-01-19","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","Dutch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPCWCKPM","journalArticle","1992","Boomsma, Graa","Paranoia: De raket van Damocles","De Groene Amsterdammer","","","","","","1992-10-04","2024-06-28 19:37:42","2024-06-28 19:37:42","","28-29","","","","","","","","","","","","","Dutch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WXV58ZBN","journalArticle","1999","Boomsma, Graa","Pragmatische oogkleppen","De Groene Amsterdammer","","","","","","1999-10-13","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","Dutch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VK9JSRG7","journalArticle","1997","Bottum, J.","The End of His Rainbow: Thomas Pynchon Fails to Deliver","Weekly Standard","","","","","","1997-05-19","2024-06-28 19:37:42","2024-06-28 19:37:42","","36-37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NYT86ZGR","journalArticle","2001","Bouquet, Stéphane","Latitude Pynchon","Libération","","","","","","2001-01-04","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","French","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZLBGHAR","journalArticle","2001","Bouquet, Stéphane","Tourbillons dans la carte du monde: Comment travaille-t-on sur un texte de Thomas Pynchon?","Libération","","","","","","2001-01-04","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","French","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5FZE2XU7","journalArticle","1990","Bowman, David","Pynchon's California","Huntsville News","","","","","","1990-03-09","2024-06-28 19:37:42","2024-06-28 19:37:42","","A4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TM7YA735","journalArticle","2009","Boyagoda, Randy","Hard-boiled or highbrow?","The Globe and Mail","","","","","","2009-08-08","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VTUCZ2UV","journalArticle","1997","Boyd, Greg","All Lined Up: Pynchon goes long and connects again","Eye Weekly","","","","","","1997-05-15","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APFV8AWI","journalArticle","1990","Boyd, Robert","The Seductive Illusions of a Pynchon Puzzle","St. Louis Post-Dispatch","","","","","","1990-01-21","2024-06-28 19:37:42","2024-06-28 19:37:42","","5C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S5VYL8J7","journalArticle","1997","Boyle, T. Coraghessan","The Great Divide","New York Times Book Review","","","","","","1997-05-18","2024-06-28 19:37:42","2024-06-28 19:37:42","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3SIY6VJB","journalArticle","1985","Bradbury, Malcolm","The Invisible Man","The Observer","","","","","","1985-01-13","2024-06-28 19:37:42","2024-06-28 19:37:42","","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JY8F4PSL","journalArticle","1990","Brady, Martin","Review of Vineland","Booklist","","","","","","1990-01-15","2024-06-28 19:37:42","2024-06-28 19:37:42","","954","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UJV397LT","journalArticle","1997","Brazell, Bill","Pynchon's Line Dance","Metro","","","","","","1997-06","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VSQQ9N3L","journalArticle","1997","Bril, Martin","De veel te gewone rug van Thomas Pynchon","Het Parool","","","","","","1997-05-16","2024-06-28 19:37:42","2024-06-28 19:37:42","","15","","","","","","","","","","","","","Dutch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2WSTKML","journalArticle","1984","Brosnahan, John","Review of Slow Learner","Booklist","","","","","","1984-04-15","2024-06-28 19:37:42","2024-06-28 19:37:42","","1129","","","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E4Q79CLQ","journalArticle","1993","Brouwers, Marja","Een roman als een raket - onklaar gemaakt","Vrij Nederland","","","","","","1993-05-08","2024-06-28 19:37:42","2024-06-28 19:37:42","","87-88","","","","","","","","","","","","","Dutch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJ9JBXKW","journalArticle","2007","Brouwers, Marja","Gods Lachen","Vrij Nederland","","","","","","2007-01-13","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","Dutch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MR78CWC8","journalArticle","2009","Brown, Helen","Inherent Vice, by Thomas Pynchon","The Daily Mail","","","","","","2009-08-18","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E27KKAIM","journalArticle","1997","Brubaker, Jack","Thomas Pynchon Examines Murder of the Conestogas in Mason & Dixon","Lancaster New Era","","","","","","1997-10-07","2024-06-28 19:37:42","2024-06-28 19:37:42","","A12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXHLB3NM","journalArticle","1997","Bukiet, Melvin J.","Boundaries: Thomas Pynchon's Line on Modernity","The Chicago Tribune","","","","","","1997-05-11","2024-06-28 19:37:42","2024-06-28 19:37:42","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R4KWE5LT","journalArticle","1997","Burgess, John","A New Novel from a Great Writer","The American Reporter","","","","","","1997-08-16","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I8QEXF5J","journalArticle","1997","Burkman, Greg","Brilliant and Bawdy, Pynchon at Full Force","The Seattle Times","","","","","","1997-05-04","2024-06-28 19:37:42","2024-06-28 19:37:42","","M2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YHY3GG3R","journalArticle","2009","Cabal, Alan","Onward, Into the Fog","Counterpunch","","","","","","2009-08-31","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RCX4QW9Z","journalArticle","2014","Calahan, Dan","Inherent Vice Review: Lots of Sex and Drugs, But Where Are the Believable People?","The Wrap","","","","","","2014-10-04","2024-06-28 19:37:42","2024-06-28 19:37:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMHQ55U2","journalArticle","1997","Carpenter, Humphrey","The American Goon Show","Sunday Times","","","","","","1997-05-04","2024-06-28 19:37:42","2024-06-28 19:37:42","","Section Features: 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDQRYW77","journalArticle","1997","Carroll, Mary","Review of Lineland","Booklist","","","","","","1997-08","2024-06-28 19:37:42","2024-06-28 19:37:42","","1870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
